Business Name,Owner/Contact,Phone,Email,Website,Social,Location,Notes,Website Status
"Dave's Maintenance","Dave",—,——,facebook.com/pelked45/,Facebook,Hamilton Township,Handyman services honey-do-list,No website - Facebook only
"Handyman Home Pros","Josh Rodweller",—,——,facebook.com/JoshRodweller/,Facebook,Hamilton Township,Home improvement services,No website - Facebook only
"Fix It Chris",Chris,(609) 599-5786,—,alignable.com/hamilton-nj/fix-it-chris/,—,Hamilton NJ,General handyman services,No website - Alignable only
"DSP Construction & Handyman Service",—,(609)  subordinate,—,facebook.com/dspconstructionhandyman/,Facebook,Mercer County,Carpentry and construction,No website - Facebook only
"Castle Handyman Services",Joe,(609) 651-6777,—,nextdoor.com/castle-handyman-services-hamilton-nj/,—,Hamilton NJ,17 neighbor faves,No website - Nextdoor only
"John's Handyman",John,—,—,nextdoor.com/pages/johns-handyman-hamilton-township-nj/,Facebook,24 neighbor faves,No website - Nextdoor + FB
"Rio Paint and Handyman",—,(609)  subordinate,—,Wilson Avenue Hamilton NJ 08619,—,Painting + handyman remodeling,No website - Nextdoor only
"Helping Hand Repair & Maintenance LLC",—,(609)  subordinate,—,nextdoor.com/helping-hand-repair-and-maintenance-llc/,—,Trenton/NJ,Neighborhood favorite,No website - Nextdoor only
"HomeRight Repairs",—,(609) 422-0017,—,nextdoor.com/pages/homeright-repairs-hamilton-square-nj/,—,Hamilton Square NJ,Door/window trim carpentry kitchen remodel,No website - Nextdoor only
"Mr. Handyman Princeton",—,(609)  subordinate,—,nextdoor.com/pages/mr-handyman-of-princeton-robbinsville/,—,Princeton NJ,Franchise but local,Possibly has website
"DC Tile & Paint Plus Handyman Services",—,(609)  subordinate,—,facebook.com/,Facebook,Hamilton NJ,Tile paint handyman,No website - Facebook only
